Month,Number of Fires,Fire Size [ha]
Jan,260,134.12
Feb,232,124.19
Mar,45,236.86
Apr,31,185.05
May,52,81.09
Jun,69,62.97
Jul,108,87.61
Aug,157,120.94
Sep,263,290.49
Oct,125,257.90
Nov,53,96.94
Dec,28,142.19
